Wall time,Step,Value
1753104352.783421,1,0.20196866989135742
1753104359.89296,2,0.16904357075691223
1753104366.877814,3,0.14719323813915253
1753104373.867685,4,0.13104337453842163
1753104380.960539,5,0.1182849258184433
1753104388.040912,6,0.10775135457515717
1753104395.032183,7,0.09877002984285355
1753104402.124746,8,0.09096609055995941
1753104409.125826,9,0.0840669646859169
1753104416.221673,10,0.07789891213178635
1753104423.268109,11,0.07235362380743027
1753104430.351064,12,0.06734928488731384
1753104437.381314,13,0.06282810866832733
1753104444.513436,14,0.05873328819870949
1753104451.620053,15,0.05501711368560791
1753104458.750853,16,0.05164792016148567
1753104465.837058,17,0.0485793761909008
1753104472.899086,18,0.0457734540104866
1753104479.992822,19,0.043215636163949966
1753104487.019687,20,0.04085807502269745
1753104494.195026,21,0.03870018571615219
1753104501.362039,22,0.0367061011493206
1753104508.429555,23,0.03486689552664757
1753104515.489387,24,0.03316135331988335
1753104522.576085,25,0.03157802298665047
1753104529.651051,26,0.030111925676465034
1753104536.718424,27,0.0287358108907938
1753104543.854408,28,0.02745378017425537
1753104550.926776,29,0.026255255565047264
1753104557.991723,30,0.025128813460469246
1753104565.016412,31,0.024071957916021347
1753104572.06935,32,0.023077206686139107
1753104579.193651,33,0.022136181592941284
1753104586.29976,34,0.021252207458019257
1753104593.417647,35,0.020415516570210457
1753104600.563414,36,0.019624145701527596
1753104607.580768,37,0.018872924149036407
1753104614.68315,38,0.018160810694098473
1753104621.7587,39,0.01748046651482582
1753104628.804949,40,0.016835765913128853
1753104635.835643,41,0.016223566606640816
1753104642.835391,42,0.01563999429345131
1753104649.84406,43,0.015083505772054195
1753104656.80578,44,0.014552747830748558
1753104663.923087,45,0.014044645242393017
1753104671.026705,46,0.013559064827859402
1753104678.063024,47,0.013095114380121231
1753104685.104362,48,0.012652353383600712
1753104692.110795,49,0.012227194383740425
1753104699.237264,50,0.011820950545370579
1753104706.287579,51,0.011430355720221996
1753104713.388851,52,0.011057307943701744
1753104720.507758,53,0.010699188336730003
1753104727.613464,54,0.010353555902838707
1753104734.675298,55,0.01002455409616232
1753104741.859248,56,0.009706981480121613
1753104748.946584,57,0.009403311647474766
1753104756.085179,58,0.00910934153944254
1753104763.139798,59,0.00882860366255045
